frequency,monetary,recency,bid ratio
1,2,1,0.41157059606760865
1,1,1,0.4874050262040967
1,3,1,0.9435939527644958
2,1,2,1.8918362988130792
2,3,2,5.096092386385736
2,2,3,5.4692710709272605
2,2,1,0.0
2,3,3,8.824753789945426
2,1,1,0.0
3,1,3,19.123104392042535
2,2,2,0.0
3,3,3,18.311780342656743
2,1,3,1.6492913210163942
3,2,3,60.87578403846466
3,2,2,7.705651765400533
2,3,1,0.0
3,1,2,12.18872385730794
3,3,2,12.872481537108143
3,2,1,0.0
1,2,2,0.7143516849747189
1,1,2,0.8446142628494766
1,3,2,1.5353591664387678
1,2,3,0.8806649860845708
1,1,3,0.7814649488870689
1,3,3,1.0846261401274686
